Dst-Nr.;KZ;Dst-Bezeichnung-offiziell;Dst-Bezeichnung lang;Dst-Abk;GO-Nr;GO-Abk;Ort;Gde-Nr;Gde-Name;Kanton;Betriebspunkt;Haltestelle;Bedienpunkt;Reiner Betriebspunkt;Tarifhaltestelle;KOORDE;KOORDN;KOORDZ;BPUIC
92629;5;Avully, Printanière;;;881;TPG;Avully;6603;Avully;GE;*;*;;;;489328.77;114587.87;382;8592629
92635;2;Avusy, La Tuiliere;;;881;TPG;Athenaz (Avusy);6604;Avusy;GE;*;*;;;;489351.81;111865.87;403;8592635
93245;9;Viry, Germagny;;;881;TPG;;;;;*;*;;;;489351.75;107901.78;528;8593245
87030;3;Athenaz, village;;;881;TPG;Athenaz (Avusy);6604;Avusy;GE;*;*;;;;489404.8;112465.87;431;8587030
92769;9;Dardagny, Le Moulin;;;881;TPG;La Plaine;6620;Dardagny;GE;*;*;;;;489482.75;115455.84;368;8592769
92767;3;Dardagny, La Donzelle;;;881;TPG;La Plaine;6620;Dardagny;GE;*;*;;;;489558.74;115788.84;365;8592767
92636;0;Avusy, Le Renfort;;;881;TPG;Athenaz (Avusy);6604;Avusy;GE;*;*;;;;489577.81;111321.87;409;8592636
87089;9;Avusy, Sézegnin;;;881;TPG;Athenaz (Avusy);6604;Avusy;GE;*;*;;;;489719.81;111306.87;420;8587089
93227;7;Sergy, gare;;;881;TPG;;;;;*;*;;;;489928.78;122896.8;461;8593227
4811;6;Thoiry, Pôle emploi;;;881;TPG;;;;;*;*;;;;489930.75;121703.82;438;8504811
87087;3;Russin, village;;;881;TPG;Russin;6637;Russin;GE;*;*;;;;489986.72;116226.84;417;8587087
93090;9;Russin, Noirettes;;;881;TPG;Russin;6637;Russin;GE;*;*;;;;490212.7;116738.84;420;8593090
93244;2;Viry, Essertet;;;881;TPG;;;;;*;*;;;;490267.73;108041.84;476;8593244
1002;5;Russin;;RUS;11;SBB CFF FFS;Russin;6637;Russin;GE;*;*;;;;490285.68;116142.9;377.8999999999942;8501002
5102;9;Saint-Genis, Clos des Vignes;;;881;TPG;;;;;*;*;;;;490294.75;122015.83;445;8505102
92639;4;Avusy, Sur-le-Moulin;;;881;TPG;Athenaz (Avusy);6604;Avusy;GE;*;*;;;;490333.8;111237.88;440;8592639
92634;5;Avusy, Eaumorte Hameau;;;881;TPG;Avully;6603;Avully;GE;*;*;;;;490359.76;113415.86;430;8592634
93097;4;Satigny, Maison-Rouge;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;490426.68;118160.83;457;8593097
87038;6;Cartigny, village;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;490447.76;114492.86;426;8587038
87416;4;Satigny, Peissy;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;490525.69;118670.83;475;8587416
92686;5;Cartigny, La Passe;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;490562.76;114149.86;430;8592686
92687;3;Cartigny, Moulin-de-Vert;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;490621.75;114712.86;430;8592687
93095;8;Satigny, Crédery;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;490675.7;119531.83;498;8593095
93094;1;Satigny, Chemin du Paradis;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;490765.69;118972.83;484;8593094
93104;8;Satigny, Taboret;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;490769.69;117997.83;439;8593104
5107;8;Saint-Genis, théâtre;;;881;TPG;;;;;*;*;;;;490783.74;122219.82;449;8505107
87920;5;Saint-Genis, Jean Monnet;;;881;TPG;;;;;*;*;;;;490814.75;122480.82;454;8587920
92685;7;Cartigny, Eaumorte-Croisée;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;490814.75;113733.86;434;8592685
30705;8;Verbois;;;199;SMGN;Russin;6637;Russin;GE;*;*;;;;491000.72;116799.84;369;8530705
18958;9;Verbois Unterwerk;;VBSS;11;SBB CFF FFS;Russin;6637;Russin;GE;;;;;;491000.72;116324.85;356;8518958
93230;1;Saint-Genis, Lion;;;881;TPG;;;;;*;*;;;;491024.73;122136.82;437;8593230
5103;7;Saint-Genis, CERN Alice;;;881;TPG;;;;;*;*;;;;491030.77;123135.82;453;8505103
93229;3;Saint-Genis, Hautains;;;881;TPG;;;;;*;*;;;;491077.74;122404.82;448;8593229
87419;8;Satigny, La Boverie;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491082.69;118373.84;435;8587419
87415;6;Satigny, Choully;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491128.71;119995.83;503;8587415
3418;1;Viry, P+R;;;881;TPG;;;;;*;*;;;;491168.88;109704.01;460;8503418
93228;5;Saint-Genis, Champ Fusy;;;881;TPG;;;;;*;*;;;;491232.75;122656.82;457;8593228
93231;9;Saint-Genis, Porte de France;;;881;TPG;;;;;*;*;;;;491260.72;122036.81;443;8593231
5106;0;Saint-Genis, Mitterrand;;;881;TPG;;;;;*;*;;;;491321.76;123084.82;459;8505106
93103;0;Satigny, temple;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491346.7;119508.83;466;8593103
93101;4;Satigny, mairie;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491418.7;119336.83;446;8593101
92972;9;Laconnex, Mollaz;;;881;TPG;Laconnex;6627;Laconnex;GE;*;*;;;;491467.74;112395.88;436;8592972
92684;0;Cartigny, Croix-en-Champagne;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;491476.74;114383.86;433;8592684
93102;2;Satigny, poste;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491576.69;118954.84;422;8593102
87392;7;Viry, Chef-Lieu;;;881;TPG;;;;;*;*;;;;491656.73;108353.87;480;8587392
3349;8;Viry, église;;;881;TPG;;;;;*;*;;;;491672.73;108439.87;-9999;8503349
87074;1;Laconnex, village;;;881;TPG;Laconnex;6627;Laconnex;GE;*;*;;;;491690.73;112575.88;437;8587074
3330;8;Satigny, Champvigny;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491690.71;119754.84;456;8503330
87921;3;Saint-Genis, Schumann;;;881;TPG;;;;;*;*;;;;491719.72;122216.81;443;8587921
95228;3;Satigny, Centre sportif;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491729.69;118586.84;404;8595228
95672;2;Satigny, Peney-Dessus;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491779.71;117518.84;409;8595672
92973;7;Laconnex, stand de tir;;;881;TPG;Laconnex;6627;Laconnex;GE;*;*;;;;491793.72;112889.88;451;8592973
87389;3;Satigny, gare;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491872.7;119064.84;414;8587389
1003;3;Satigny;;SY;11;SBB CFF FFS;Satigny;6638;Satigny;GE;*;*;;;;491878.3;119055.01;414.3999999999942;8501003
87091;5;Soral, mairie;;;881;TPG;Soral;6639;Soral;GE;*;*;;;;491960.73;111109.92;455;8587091
95040;2;Satigny, Bourdigny-Dessous;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491981.71;120089.84;450;8595040
93092;5;Satigny, Bourdigny-Douane;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;491996.71;120752.83;465;8593092
87381;0;Satigny, Bourdigny-Dessus;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;492014.71;120497.83;450;8587381
87072;5;Cartigny, Petite-Grave;;;881;TPG;Cartigny;6609;Cartigny;GE;*;*;;;;492107.73;114518.86;432;8587072
95044;4;Soral, village;;;881;TPG;Soral;6639;Soral;GE;*;*;;;;492200.72;111262.91;451;8595044
92971;1;Laconnex, Chemin de la Douane;;;881;TPG;Laconnex;6627;Laconnex;GE;*;*;;;;492279.72;113184.87;452;8592971
92619;6;Aire-la-Ville, Pont-de-Peney;;;881;TPG;Aire-la-Ville;6601;Aire-la-Ville;GE;*;*;;;;492302.71;116661.84;373;8592619
87028;7;Aire-la-Ville;;;881;TPG;Aire-la-Ville;6601;Aire-la-Ville;GE;*;*;;;;492306.7;116346.84;430;8587028
87388;5;Satigny, Peney-Dessous;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;492335.72;117555.85;372;8587388
30706;6;Peney;;;199;SMGN;Satigny;6638;Satigny;GE;*;*;;;;492400.72;117499.85;369;8530706
92620;4;Aire-la-Ville, Treulaz;;;881;TPG;Aire-la-Ville;6601;Aire-la-Ville;GE;*;*;;;;492431.7;115891.85;395;8592620
95556;7;Aire-la-Ville, Moulin-Ratte;Aire-la-Ville, Moulin-de-la-Ratte;;881;TPG;Aire-la-Ville;6601;Aire-la-Ville;GE;*;*;;;;492489.7;116136.84;384;8595556
93091;7;Satigny, Bois-de-Bay;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;492540.72;117278.85;374;8593091
92658;4;Bernex, Maisonnette;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;492658.72;113369.87;451;8592658
93246;7;Viry, La Côte;;;881;TPG;;;;;*;*;;;;492776.72;107717.85;512;8593246
95952;8;Satigny, ZIMEYSA-Ouest;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493038.7;119777.85;410;8595952
95224;2;Bernex, Sézenove-Ferrand;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493146.72;113623.87;452;8595224
19475;3;Meyrin, CERN fin des voies;;;881;TPG;Meyrin;6630;Meyrin;GE;*;;;*;;493158.7;121232.85;436;8519475
95041;0;Satigny, Pré-Bouvier;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493206.7;119927.85;414;8595041
95043;6;Bernex, Sézenove-village;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493237.72;113487.87;488;8595043
93099;0;Satigny, Pré-de-la-Fontaine;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493270.7;120143.85;413;8593099
93105;5;Satigny, Terre Mousson;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493296.71;117148.85;377;8593105
87918;9;Meyrin, CERN;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;493315.7;121164.85;436;8587918
4812;4;Satigny, Nant d'Avril;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493408.7;120313.85;414;8504812
92652;7;Bernex, Cottenets;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493423.71;113261.87;443;8592652
4813;2;Satigny, Bergère;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493440.7;120072.85;419;8504813
93239;2;Gex, Vertes Campagnes;;;881;TPG;;;;;*;*;;;;493459.69;131478.35;585;8593239
93096;6;Satigny, Les Maladières;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493571.7;120017.86;422;8593096
92664;2;Bernex, Vailly;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493600.72;114364.87;449;8592664
87916;3;Tougin, hôpital;;;881;TPG;;;;;*;*;;;;493618.69;131347.36;580;8587916
4814;0;Prévessin, Prévessin-CERN;;;881;TPG;;;;;*;*;;;;493674.73;123466.8;462;8504814
93018;0;Meyrin, Maisonnex;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;493695.7;121000.85;430;8593018
93098;2;Vernier, Moulières;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493723.7;119323.85;427;8593098
93100;6;Satigny, Rue Carrée;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493769.71;117286.84;382;8593100
93025;5;Meyrin, Veyrot;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;493771.7;120440.86;425;8593025
87912;2;Gex, poste (F);;;881;TPG;;;;;*;*;;;;493828.69;132217.35;598;8587912
92659;2;Bernex, Malpertuis;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493895.72;115451.81;407;8592659
92663;4;Bernex, Saule;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;493906.72;114510.86;446;8592663
93093;3;Satigny, Camping Bois-de-Bay;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;493992.7;117454.84;388;8593093
93011;5;Zimeysa, gare;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494041.7;119835.86;431;8593011
95026;1;Meyrin, Maillard;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494054.7;120620.86;425;8595026
1000;9;Zimeysa;;ZIM;11;SBB CFF FFS;Meyrin;6630;Meyrin;GE;*;*;;;;494070.2;119798.94;429.3999999999942;8501000
92662;6;Bernex, Pré-Polly;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494097.71;113192.87;416;8592662
93013;1;Meyrin, Hôpital de la Tour;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494274.7;120747.86;427;8593013
96096;3;Meyrin, Vieux-Bureau;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494275.7;120220.86;433;8596096
93172;5;Vernier, Sorbier;;;881;TPG;Satigny;6638;Satigny;GE;*;*;;;;494283.71;119307.84;431;8593172
94941;2;Prévessin, Les Aglands;;;881;TPG;;;;;*;*;;;;494305.71;123485.79;471;8594941
93149;3;Vernier, Canada;;;881;TPG;Vernier;6638;Satigny;GE;*;*;;;;494343.72;118370.81;420;8593149
87076;6;Bernex, Lully-Croisée;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494349.71;113298.87;430;8587076
92650;1;Bernex, église;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494353.72;114580.85;453;8592650
93217;8;Cessy, les Hauts;;;881;TPG;;;;;*;*;;;;494393.69;131108.38;536;8593217
92656;8;Bernex, Lully;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494411.71;113312.87;410;8592656
93224;4;Gex, Georges Charpak (F);;;881;TPG;;;;;*;*;;;;494420.68;132509.36;580;8593224
95047;7;St-Julien-en-G.,Lycée de Staël;;;881;TPG;;;;;*;*;;;;494470.69;110907.88;435;8595047
87909;8;Cessy, centre;;;881;TPG;;;;;*;*;;;;494487.7;130328.45;530;8587909
93026;3;Meyrin, village;;;881;TPG;Meyrin;6630;Meyrin;GE;*;*;;;;494568.7;120632.86;434;8593026
92657;6;Bernex, mairie;;;881;TPG;Bernex;6607;Bernex;GE;*;*;;;;494570.71;114687.85;454;8592657
93143;6;Vernier, Bois-Chébé;;;881;TPG;Vernier;6643;Vernier;GE;*;*;;;;494596.73;118160.81;418;8593143
